s1,s2,s3,s4,s5,s6
0,0,0,0,0,0
0,6.4,0,0,0,0
0,10.8,0,0,0,0
0,17.2,0,0,0,0
0,25.9,0,0,0,0
3.9,35.2,0,0,0,0
11.5,41,0,0,0,0
19.7,42.3,0,0,0,0
26.1,42.3,0,0,0,0
28.7,43.1,0,0,0,0
25,45.3,0,0,0,0
18.4,46.6,0,0,0,0
12,48.8,0,0,2.5,0
7.7,51.4,0,0,14.8,0.2
4.9,53.5,0.4,0,29.3,7.5
3.2,55.2,2.1,0,40.1,14.4
2,55.4,5.5,0,45.8,16.1
1.3,52.9,10.1,0,47.4,14.1
0.8,49,15.2,0,48.2,15.6
0.5,45.1,20,0,50.3,19.8
0.3,42.8,24.7,0.2,53.9,24.3
0.2,42.2,28.5,0.5,57.4,30.4
0.1,44.2,32,0.7,60.8,36.9
0.1,49.2,34.8,1.2,64.1,42.4
0.1,54.3,37,1.5,67.5,48.5
0,59.9,39.3,1.8,70.9,53.2
0,65.4,41.9,2.4,74.3,58.8
0,69.9,44.5,3.1,77.5,63.9
0,74.4,47.2,3.8,79.9,67.7
0,78.3,50.4,4.4,81.8,70.6
0,81.7,53.5,5.3,83.5,73.5
0,83.9,56.4,7.4,85,76.2
0,86,58.8,9.1,86.3,78.2
0,88,60.8,10.4,87.2,81
0,89.7,62.8,11.8,87.9,82.8
0,91.3,64.3,13,88.3,83.9
0,92,65.6,14,88.8,85
0,92.6,66.8,15,89.2,86
0,93.2,67.4,15.6,89.7,86.9
0.2,93.7,68.2,16.2,90,87.4
2.2,94.3,68.8,16.9,90.3,87.9
8.6,94.8,69.2,17.6,90.6,88.3
17.2,95.3,69.5,17.9,90.9,88.5
27.8,95.8,69.7,18.2,91,88.7
37.1,96.1,70,18.4,91.3,89.1
44.6,96.3,70.3,18.9,91.5,89.7
50.8,96.4,70.7,19.1,91.8,90.2
55.6,96.5,71,19.4,92.1,91
59.1,96.7,71.3,19.7,92.3,91.8
61.9,96.9,71.6,20.1,92.5,92.8
63.9,97,71.8,20.5,92.8,93.8
65.4,97.1,72.1,21.1,92.9,94.4
66.3,97.1,72.3,21.8,93.2,95
67,97.2,72.5,22.5,93.5,95.7
67.3,97.1,72.7,23.3,93.7,96.3
67.3,97.1,72.8,24.1,93.8,132.1
67.3,97.2,73,24.8,94,164.8
67.4,97,73.5,25.7,94.1,189.3
67.6,97,74,26.5,94.1,208.4
68,97.2,74.6,27.5,94.2,250.6
68.6,97.3,74.9,28.4,94.2,261
69.2,97.5,75.6,29.1,94.3,280.3
69.9,97.5,76,29.7,94.3,294.4
70.4,97.7,76.5,30.3,94.4,294.9
71,97.7,77,30.9,94.4,298.6
71.6,131.9,77.4,31.5,94.5,301
72,119.7,78.1,32,94.3,284.7
72.4,146,78.6,32.4,94.2,270.2
72.8,165.1,79.3,32.9,94.2,273
73.3,179.1,79.8,33.3,94.2,286.3
73.5,185.8,80.3,33.8,94.2,293.1
73.8,186.7,80.7,34.1,94.1,266.4
74,187.2,81.1,34.3,94.2,267.7
74.1,155.2,81.5,34.5,94.1,259.9
74.1,169.3,81.7,34.7,94,259.5
74.3,179,82,35,93.8,238
74.6,188,82.4,35.4,93.8,224.2
75,186.9,82.7,35.7,93.6,216.4
75.3,187.4,83.1,36,93.5,218.4
75.6,191.1,83.2,36.1,93.3,217.9
75.8,195.2,83.6,36.3,93,219.3
76.1,193.9,83.7,36.4,93,226.6
76.6,200.4,83.8,36.6,92.7,228.3
76.9,204.7,83.9,36.5,92.6,214.5
77.2,209.7,83.9,36.2,92.6,215.4
77.6,204.3,83.8,36.1,92.5,210.3
78,203.1,83.7,35.9,92.4,201.2
78.3,203.5,83.5,35.8,92.4,198.3
78.5,202.6,83,35.3,92.6,162.3
78.8,202.6,82.2,34.8,92.8,177.3
78.8,205.5,81.2,33.9,93.1,148.6
78.8,206.2,79.9,32.8,93.3,177.7
78.5,200.9,78.9,31.7,93.4,186.7
78.2,203.2,77.9,30.6,93.8,200.4
77.9,199.6,77,29.5,94,219
77.5,195.5,76.1,28.8,94.2,229.2
77.1,160.5,75.4,28.2,94.3,245.6
76.8,138,74.9,27.9,94.4,259.5
76.4,123.6,74.4,27.6,94.6,271.9
76,114.3,74,27.6,94.7,283.3
75.7,108.4,73.5,27.6,94.7,282.5
75.6,104.5,73.1,27.6,94.6,280.9
75.6,102.1,72.7,27.7,94.8,282.7
75.6,100.5,72.5,27.6,94.6,280.5
75.7,99.5,72.3,27.7,94.7,272.1
75.7,98.8,72.2,27.7,94.7,268.5
75.8,98.4,72,27.9,94.7,274.8
75.9,98.2,71.7,27.9,94.7,288.6
76.1,131.6,71.6,27.7,94.6,260.6
76.2,119.5,71.5,27.7,94.6,243.9
76.5,145.3,71.5,27.8,94.5,224.5
76.6,128.2,71.5,27.7,94.3,179.1
76.7,117.3,71.6,27.6,94.1,181.8
76.9,143.3,71.6,27.5,94.1,151.7
77.1,160.5,71.5,27.3,94.1,132.4
77.2,170.4,71.5,27.1,94.1,120
77.3,182,71.4,27,93.9,112.1
77.6,185.9,71.5,27.1,93.8,106.8
77.8,194.8,71.8,27.2,93.8,103.4
77.9,191.8,72.3,27.7,93.6,101.2
77.8,194.5,72.6,28.2,93.5,100
77.8,194,72.9,28.8,93.5,99.1
77.6,159.5,73.4,29.3,93.5,98.6
77.5,173.8,73.8,30,93.3,98.3
77.6,183,74.3,30.6,93.2,98
78,184.8,74.8,31.1,92.9,97.7
78.2,187.2,75.2,31.5,92.8,97.6
78.5,189.8,75.6,32,92.7,128.3
78.7,195.6,76,32.6,92.7,117.3
78.8,193.5,76.6,33.1,92.5,110.2
78.9,192.2,76.9,33.5,92.4,105.7
79,195.3,77.2,33.8,92.3,102.8
79,196.2,77.4,34,92.4,100.9
79.1,197.9,77.6,34.2,92.2,99.6
79.1,196.7,77.7,34.4,92.1,98.6
79.1,196.5,78.1,34.7,92,98
79,201.6,78.5,34.9,91.9,97.7
78.9,200.8,79,35.4,92,97.5
78.9,196.9,79.8,36.2,91.8,97.3
78.9,161.3,80.5,36.9,91.6,97.2
79,174.4,81,37.3,91.5,97.2
79.1,180.5,81.3,37.5,91.6,97.3
79.1,150.9,81.4,37.6,91.7,97.2
79,131.9,81.5,37.7,91.7,97.2
78.9,119.7,81.3,37.6,91.8,97.2
78.9,111.9,81.1,37.3,91.9,97.2
78.9,106.8,80.7,37.1,92,97.2
78.9,141.7,80.4,36.9,92.1,97.1
78.9,160.7,80.4,36.9,92.2,97.1
78.9,171.1,80.5,37,92.2,97.3
78.8,144.8,80.5,37,92.1,97.3
78.8,158.6,80.6,37.1,92.1,97.2
78.8,136.9,80.7,37.2,91.9,97.1
79.1,153.5,80.8,37.2,91.8,97.1
79,164.2,80.9,37.1,91.8,97
79.2,140.4,80.8,37.2,91.7,97
79.4,158.1,80.8,37.2,91.6,96.7
79.8,172.9,80.6,37.1,91.6,96.7
80.1,179,80.4,37,91.5,96.5
80.3,189.2,80.4,36.9,91.5,96.1
80.7,188.2,80.2,36.6,91.2,95.9
81,192.8,80.1,36.4,91.1,95.7
81.3,198.6,80.3,36.3,91,95.4
81.4,198.3,80.3,36.2,90.9,95.3
81.5,197.6,80.5,36.1,90.8,95.2
81.7,195.4,80.7,35.9,90.9,95.2
81.8,203.7,80.7,35.8,90.8,95
81.7,209.6,80.8,35.8,91,95.1
81.8,215.2,81,35.7,90.9,95.1
81.8,217,81.2,35.8,90.8,95
81.9,215.3,81.5,36,90.7,95
82,213.6,81.8,36.1,90.6,95
82.1,213.1,82,36.2,90.7,94.9
82,209.9,82.1,36.2,90.6,95
81.9,205.6,82.2,36.4,90.6,95
82,207.4,82.2,36.4,90.6,95
82,209.7,82.3,36.6,90.5,95.1
82,208.9,82.2,36.6,90.5,95.1
81.9,207.2,82.3,36.6,90.6,95.1
81.8,203.8,82.1,36.5,90.7,95
81.7,209.2,82,36.5,90.8,95.1
81.6,205.1,81.9,36.5,90.8,95.2
81.5,200.2,81.9,36.5,90.9,95.3
81.4,197.6,81.8,36.6,91,95.3
81.2,196.5,81.9,36.6,91,95.4
81.1,197.6,81.8,36.8,91.1,95.6
80.9,198.8,82,36.9,91.1,95.8
80.8,193.8,82,37.2,91.2,95.9
80.7,159.4,82.1,37.5,91.1,96.2
80.5,169.1,82.3,37.7,91.2,96.3
80.6,143.6,82.7,38,91.1,96.4
80.5,127.2,83,38.4,91.1,96.3
80.5,148.5,83.3,38.8,91,96.3
80.7,130.4,83.4,39.2,90.8,96.3
80.7,118.7,83.6,39.4,90.7,96.3
80.6,111.2,83.7,39.7,90.6,96.4
80.6,106.4,83.9,39.8,90.6,96.3
80.6,103.3,84,40,90.7,96.4
80.6,101.3,84.1,40.2,90.7,96.5
80.5,132.4,84.2,40.2,90.7,96.4
80.7,119.9,84.2,40.3,90.7,96.3
80.6,112,84.3,40.3,90.6,96.3
80.6,106.9,84.4,40.6,90.5,96.4
80.6,103.6,84.4,40.6,90.4,96.3
80.7,101.5,84.4,40.7,90.4,96.3
80.6,100.2,84.3,40.6,90.5,96.4
80.7,99.3,84.4,40.6,90.5,96.4
80.8,98.7,84.4,40.7,90.5,96.3
80.8,98.4,84.4,40.7,90.4,96.3
