s1,s2,s3,s4,s5,s6
0,0,0,0,0,0
0,0,1.5,0,2.6,0
0,0,2.6,0,4.5,0
0,0,3,0,8.2,0
0,0,3.8,0,15.8,2.2
0,0,5.6,0,26.5,7.9
0,0,7.9,0,36.6,14.1
0,0,10.5,0,44.5,18.9
0,0,12.9,0,50.6,22.8
0,0,14.8,0,56,27.7
0,0,16.9,0,60.9,32.2
0,0,18.7,0,65.2,37.5
0,0,20.8,0,69.4,43.7
0,0,23.7,1.5,73.4,50.2
0,0,28.1,4.1,77.4,55.4
0,5.4,31.9,6.3,80.7,57.4
0,24.5,34.6,8.6,83.5,59.9
0.3,41.4,35.8,10.4,85.7,60.7
8,55.2,36.4,12.4,87.7,61.2
17.1,65.8,38,15.2,89.2,63.6
22.5,73.5,41.9,19.3,90.4,66.6
22.3,77.5,46.4,23.9,91.2,71.5
17.7,78.4,51.4,27.8,91.8,76.6
11.4,71.8,56,31.1,92.3,78.5
7.3,49.5,59.9,32.9,92.3,82.7
4.7,31.7,62.4,33.4,92.4,85.2
3,20.4,64,33,92.5,87.3
1.9,13.1,65.3,33,92.9,132.1
1.2,8.4,66.7,34,93.1,119.9
0.8,5.4,67.8,35.4,93.3,151.8
0.5,5.5,68.8,37.2,93.5,132.3
0.3,9.5,69.8,38.6,93.7,119.4
0.7,12.5,70.6,39.7,93.5,110
0.9,12.7,70.8,40.3,93.5,105.2
0.6,9.5,70.9,40.3,93.5,101
0.4,6.6,71.1,40.3,93.4,99.5
0.2,5,71.3,40.4,93.2,98.3
0.2,6.6,71.9,40.7,93.3,96.7
0.1,14.2,72.6,41.4,93.2,94.1
1.3,25.9,73.6,42.4,93.2,93.8
7,40.4,74.6,44.1,93.2,92.9
21.2,54.1,75.7,46.3,93.3,90.8
34.7,64.8,76.7,48.5,93.4,89.9
44.5,72.7,77.6,50.4,93.4,89.4
51.3,78.1,78.4,51.9,93.1,86.8
55.4,81.8,79,52.8,93.1,88.1
58.5,84.1,78.7,52.7,93.2,88.4
61.9,86.1,77,52.5,93.8,88.7
65.7,88.3,74.3,51.6,94.4,86.9
68.9,90.6,72.6,51.3,94.8,85.9
71,92.3,72.9,52.1,95.1,84.7
72,93.4,74.3,53.3,95,83.8
72.5,94.3,75.8,54.3,94.9,83
73,94.8,76.6,55.2,94.9,82
74.4,95.6,76.7,55.5,94.9,80.9
76,96.1,75.8,55.1,94.8,79.7
77.5,96.5,74.8,54.7,94.8,78.8
78.7,96.8,73.7,54.1,94.8,78.5
79.6,97.2,72.6,53.1,94.7,79.1
80.2,97.4,71.7,52.3,94.5,79.3
80.7,97.5,71.3,51.6,94.7,79.6
80.6,97.6,71.7,51.4,94.6,79.6
80.3,97.5,72.3,51.7,94.5,79.8
80.2,97.5,72.9,52,94.6,79.7
79.8,97.5,73.5,52.6,94.6,80.1
79.6,97.3,74,53.1,94.6,81.2
79.1,97.1,74.5,53.5,94.6,82.1
78.5,96.8,75.1,54,94.5,82.9
77.8,96.3,75.6,54.4,94.5,83.3
77.1,95.7,76,54.9,94.5,83.7
76.4,95.2,76.5,55.5,94.5,84.5
75.6,94.7,77,56.2,94.5,84.9
74.8,94,77.5,56.7,94.3,83.7
73.8,93.5,77.9,57.3,94.2,84.1
73.1,93.2,78.3,57.8,94,84.8
72.6,93,78.5,58.1,93.8,85.3
72.5,93,78.8,58.2,94.1,84.7
72.4,93,79,58.5,93.9,83
72.3,92.8,79.6,58.6,93.8,81.6
71.7,92.5,80.1,58.6,93.6,84
70.5,91.5,80.9,58.5,93.4,86.3
67.9,89.1,81.5,58.3,93.2,87.4
62.5,85.2,81.9,57.8,93,87.4
54.5,77.9,82.1,56.7,92.8,89.4
43.5,67.8,82.3,55.4,92.4,90.8
33.3,56.6,82.2,54.2,92.1,90.7
25.4,47.5,82.3,53.8,92,91.5
18,40,82.4,53.4,91.9,92.8
11.6,33.3,82.1,53.2,91.9,93.6
7.4,26.3,81.8,53,91.8,94.1
4.8,20,81.5,52.9,91.9,94.3
3.1,13.9,81.2,52.4,91.8,93.9
2,9.1,80.8,52.2,91.9,90.5
1.3,5.9,80.2,51.5,91.8,91.9
0.8,3.8,79.8,50.9,91.8,91.5
0.5,2.4,79.2,50.4,91.8,91.7
0.3,1.6,78.9,50.1,91.9,89.8
0.2,1.3,78.9,50.1,91.9,88.7
0.1,4.3,79,50.1,92,88.2
0.1,13.5,79,50.3,92.1,90.7
4.6,26.1,78.8,50.3,92.2,91.5
20.8,39,76.9,49.7,92.8,90
37.3,52.6,73.9,49.9,93.6,89.5
49.7,63.3,71.8,50.2,94.2,89.9
58.4,71.3,70.7,50.6,94.8,90
63.9,77,70.4,51,95.1,90.1
67.6,81,70.1,51.3,95.2,89.5
70.2,83.9,69.6,51.4,95.2,87.7
72.3,86.1,68.9,51.7,95.3,86
73.8,87.9,68.5,51.7,95.1,84.7
75.1,89.2,68.5,51.5,95.1,85
76.2,90.3,68.7,51.5,94.8,86.2
76.8,91,69.1,51.5,94.8,86.5
77.1,91.5,69.8,51.7,94.7,85.7
76.8,91.9,71.1,52,94.7,85.3
75.8,92.1,73.1,52.4,94.5,87
74.2,92.2,75.2,53.1,94.3,86.8
71.9,91.7,76.9,53.9,93.8,88
69.9,91.1,78.3,54.5,93.6,88.2
68.8,91,79.3,55,93.3,86.9
68.6,91.3,79.7,55.3,93.3,87.8
69.2,92,79.7,55.5,93.4,86.6
70.2,92.6,79.4,55.7,93.5,86.8
71.2,93.2,79.2,55.9,93.5,87.1
71.9,93.7,79,55.8,93.6,88
72.2,94,78.8,55.7,93.7,87.7
71.9,93.9,78.9,55.8,93.6,88.4
69.9,93.5,79.4,56,93.6,88.8
64.4,92.1,80,56.1,93.4,89.2
54.6,89.1,80.4,56.4,93.3,90.2
42.7,83.6,80.5,56.4,93.1,89.4
33.1,75.6,80.4,56.3,93.1,89.4
26.1,67.9,80.4,56.2,92.8,90.1
21.5,63.3,80.4,56.2,92.6,90.4
17.9,62,80.5,56.3,92.5,90.1
15.6,61.5,80.6,56.4,92.5,89.8
13.9,61.6,80.6,56.3,92.4,88.9
12.7,62.6,80.4,56.3,92.5,88.1
12.7,64.7,80.3,56.2,92.7,87.5
