s1,s2,s3,s4,s5,s6
0,0,0,0,0,0
0,0,0,0,11.9,0
0,0,0,0,25.3,0
0,0,0,0,37.7,0
0,0,0,0,47.3,0.1
0,0,0,0,55.2,1.1
0,0,0,0,61.4,3.2
0,0,0,0,65.8,7.7
0,0,0,0.6,69,13
0,0,1.5,2.1,71.3,19.1
0,0,4.1,3.9,73.2,25
0,0,7.4,5.7,74.8,30
0,0,10.7,7.9,76.5,34.7
0,0,15.1,10.7,78.2,39.5
0,0,20.4,14.1,79.4,43.9
0,0,25.3,17.1,80.3,48.1
0,0,29.7,19.5,80.6,51.2
0,0,33.5,22,80.6,53.6
0,0,36.6,24.1,80.7,55.8
0,0,39.5,26,80.6,57.8
0,0,41.8,27.4,80.7,59.2
0,0,43.3,28.3,80.9,60.1
0,0,44.4,29,80.9,60.5
0,0,44.6,29,81,59.9
0,0,44,28.3,81.2,58.4
0,0,42.6,26.9,81.4,56.5
0,0,40.8,25.8,81.2,53.7
0,0,39.6,24.9,80.8,51
0,0,39,24.1,80.7,48.3
0,0.5,38.6,23.9,80.8,46.8
0,1.7,38.6,24,81.5,46.2
0,4.6,38.5,24.2,82.2,46.3
0,8.2,38.2,24.5,83,46.9
0,12,38.2,24.9,83.9,47.6
0,15,38.2,25.3,84.8,48.9
0,16.8,38.3,25.8,85.6,51
0,17.4,38.7,26.5,86.1,53.4
0,16.4,39.5,27.4,86.5,56
0,15,40.6,28.5,86.9,59.1
0,13.4,42.2,29.9,87.3,62.4
0,12.4,43.8,31,87.5,65.6
0,12.7,45.9,32.7,88,68.8
0,15.2,48.8,34.7,88.6,72.2
0,20.5,52.5,38,89.3,75.4
0,26.7,56.8,41.4,89.8,78.7
0,32.6,61,44.3,90.4,82
0,38.2,64.3,46.4,91,84.6
0,43,66.9,48.1,91.3,86.7
0,47.3,68.9,49.1,91.5,88
0,50.5,70.4,50.1,91.7,89.3
0,52.8,71.4,50.9,91.8,90.5
0,53.9,72.3,51.7,91.9,91.5
0,52.7,72.9,52.5,92,92.6
0,50,73.5,53.1,91.9,93.7
0,46.6,74,53.7,91.7,94.3
0,43.7,74.2,54,91.5,95
0,41.9,74.4,54.5,91.4,95.3
0,41.8,74.5,55.1,91.6,95.7
0,43.4,75,55.7,91.9,96.2
0,47.4,75.6,56.5,92.1,96.6
0,54,76.7,58.1,92.5,97
0.5,60.6,77.7,59.7,92.7,129.7
1.8,66.1,78.7,61.3,93,150.6
2.5,70.1,79.5,62.4,93.3,131.7
3.1,72.8,80.1,63.4,93.4,155.4
2.9,74.3,80.8,64.3,93.5,170
2.7,75.3,81.3,65,93.7,184.6
1.8,75.8,81.8,65.6,93.6,197.4
1.2,76.3,82.5,66.3,93.5,212.5
0.8,76.5,83.3,66.8,93.7,223.3
0.5,76.3,83.9,67.3,93.6,236
0.3,76,84.3,67.7,93.8,243
0.2,75.7,84.6,67.9,93.8,256.7
0.1,75.7,84.6,68.2,93.9,258.6
0.1,75.5,84.7,68.5,94,266.7
0.1,75.4,84.4,68.4,94.1,271.3
0,74.9,83.7,68.3,94,274.9
0,74.5,83.3,67.8,93.9,271.4
0,74.1,82.6,67.5,93.8,265.7
0,74.1,82.1,67.1,93.6,270.1
0,74.2,81.5,66.9,93.5,260.9
0,74.8,80.8,66.5,93.4,251.5
0,75.6,80.3,66.2,93.4,243.8
0,76.6,79.8,65.8,93.4,236.5
1.2,77.7,79.3,65.4,93.4,222.1
2,78.4,78.5,65,93.6,217.4
2.6,78.9,78,64.6,93.5,217.3
2.9,79,77.6,64.2,93.4,211.4
3.3,79.1,77.2,63.9,93.3,204.8
3.7,79.1,76.6,63.6,93.2,166.5
4.3,79,76,62.8,93.2,141.7
4.3,78.6,75.2,61.8,93.1,125.8
3.8,78,74.3,60.7,92.9,115.4
4.2,77.7,73.7,59.7,92.6,108.5
4.5,77.6,73.1,58.9,92.4,104
5,77.7,72.8,58.3,92.4,101
5.5,77.7,72.6,57.9,92.3,99.1
6.1,77.7,72.6,57.5,92.1,97.8
6.5,78,72.4,57.1,92,97
7,78.3,72.3,56.5,91.9,96.3
7.4,78.7,72.1,56,92,95.8
8.2,78.9,71.9,55.6,91.8,95.3
8.9,78.9,71.7,55.1,91.8,94.9
9.2,79.1,71.4,54.7,91.9,94.4
9.5,79.3,71.1,54.7,92,94.2
9.9,79.5,71,54.6,92,94.1
10.2,79.6,71.1,54.5,92,93.9
10.3,79.5,71,54.3,92,93.9
10.4,79.4,71.1,54.3,92,93.9
10.4,79.1,71,54.2,91.8,93.8
10.6,78.8,70.8,54.1,91.9,93.6
10.9,78.7,70.5,53.9,91.8,93.3
11.3,78.7,70.2,53.9,91.7,93.2
11.6,78.8,70.1,53.9,91.7,93
11.8,78.7,69.9,53.8,91.7,92.9
11.9,78.6,69.6,53.8,91.7,92.9
12.2,78.5,69.4,53.7,91.7,92.9
12.7,78.7,68.9,53.4,91.8,92.7
13.4,78.6,68.5,53.3,91.7,92.5
14,78.4,68.2,53.2,91.7,92.5
14.5,78.3,67.8,52.9,91.7,92.4
14.9,78.4,67.4,52.7,91.6,92.3
15.5,78.5,67.1,52.5,91.6,92.2
16.1,78.4,66.9,52.4,91.6,92.1
16.7,78.4,66.6,52.2,91.5,91.7
17.2,78.4,66.4,52.1,91.5,91.8
17.4,78.5,66.5,52.2,91.5,91.7
17.8,78.4,66.7,52.2,91.6,91.6
17.8,78.4,66.8,52.2,91.7,91.7
17.8,78.4,67,52.2,91.6,91.6
17.7,78.4,67,52.4,91.7,91.5
18,78.2,67.2,52.5,91.7,91.7
18.5,78.3,67.3,52.8,91.7,91.7
19,78.5,67.4,52.9,91.8,91.9
19.3,78.7,67.4,53.1,91.9,91.9
19.9,79,67.5,53.1,91.9,91.9
20.3,79.2,67.5,53.3,91.9,91.7
20.5,79.5,67.8,53.6,92.1,91.7
21.1,79.8,67.8,53.6,92.1,91.7
21.4,80.1,67.8,53.6,92,91.7
21.8,80.3,67.8,53.7,92.1,91.8
22,80.7,67.7,53.7,92.2,91.6
22.2,80.9,67.6,53.7,92.3,91.7
22.7,81.3,67.5,53.9,92.4,91.8
23.1,81.6,67.2,53.9,92.4,91.8
23.6,81.8,67.1,54,92.4,91.9
23.8,82,66.9,54.1,92.4,91.9
24.1,82.2,66.6,54.1,92.5,91.8
24.6,82.4,66.5,54.2,92.5,91.7
24.9,82.6,66.5,54.2,92.5,91.7
25.2,82.7,66.2,54.1,92.5,91.7
25.6,82.7,66.1,54.1,92.6,91.7
25.8,82.8,65.8,54,92.6,91.6
25.9,82.8,65.6,54,92.8,91.5
26,82.9,65.3,53.9,92.8,91.5
26.1,82.8,64.9,53.7,92.8,91.4
26.3,82.8,64.7,53.7,92.8,91.4
26.4,82.8,64.6,53.4,92.8,91.2
26.3,82.8,64.4,53.2,92.7,91.1
26.4,82.8,64.1,53.4,92.7,91.1
26.4,82.9,63.9,53.3,92.7,91.2
26.5,82.9,63.8,53.2,92.6,91.2
26.5,82.9,63.6,53.2,92.6,91.1
26.5,82.9,63.4,53.4,92.7,91.2
26.4,83.1,63.4,53.2,92.6,91
26.5,83,63.3,53.2,92.7,91
26.5,83,63.2,53,92.6,90.8
26.5,83,63.1,52.8,92.6,90.6
26.4,82.9,63.1,52.7,92.5,90.7
26.2,82.7,63,52.8,92.5,90.6
25.7,82.7,63.1,52.8,92.4,90.6
25.4,82.5,63.2,52.9,92.5,90.6
25.3,82.2,63.3,52.7,92.5,90.6
24.9,82,63.5,52.6,92.5,90.6
24.7,82.1,63.5,52.6,92.4,90.5
24.5,82,63.6,52.6,92.3,90.5
24.2,81.7,63.8,52.5,92.3,90.5
24.1,81.8,63.9,52.5,92.1,90.5
24.1,81.8,63.9,52.5,92.3,90.6
24.1,81.6,64,52.4,92.2,90.7
24.1,81.6,64.1,52.6,92.2,90.8
24.1,81.8,64.1,52.8,92.3,90.8
24.2,81.9,64.2,52.8,92.2,90.9
24.2,81.8,64.4,52.9,92.4,90.8
24.1,81.7,64.8,53,92.2,90.7
24.2,81.8,64.9,53.1,92.3,90.8
24.1,81.8,64.9,53.1,92.1,91
24.1,81.9,65.1,53.2,92.2,91.3
24,82,65,53.2,92.1,91.2
24,82.1,65.2,53.2,92.3,91.1
24.1,82.2,65,53.2,92.3,91
24.2,82.4,64.9,53.1,92.3,90.8
24.3,82.5,64.8,53.2,92.2,90.8
24.4,82.5,64.7,53.2,92.5,90.9
24.4,82.6,64.6,53.1,92.4,90.8
24.4,82.6,64.5,53.1,92.3,90.7
24.6,82.7,64.4,53.1,92.4,90.7
24.8,82.8,64.4,53.2,92.4,90.8
25.2,82.9,64.3,53.2,92.4,90.8
25.5,82.8,64.3,53.2,92.5,90.8
25.8,82.8,64.4,53.2,92.4,90.8
25.9,82.9,64.3,53.2,92.5,90.7
26.2,82.8,64.4,53.4,92.6,90.8
26.4,82.9,64.5,53.4,92.6,90.8
26.5,83,64.6,53.4,92.7,90.6
26.5,83,64.7,53.3,92.6,90.6
26.4,83,64.8,53.4,92.6,90.8
26.2,83,64.9,53.5,92.6,90.8
26.1,82.9,65,53.6,92.7,90.9
26,83,65.1,53.5,92.8,90.9
25.9,82.9,65.2,53.5,92.7,90.9
25.8,82.9,65.2,53.4,92.6,90.8
25.7,82.9,65.3,53.6,92.6,90.8
25.7,82.8,65.3,53.6,92.5,90.8
25.5,82.8,65.2,53.6,92.5,90.8
25.3,82.6,65.2,53.5,92.3,90.9
25.3,82.6,65,53.3,92.4,90.9
25.2,82.3,64.8,53.4,92.2,90.8
24.9,82.2,64.6,53.2,92.3,90.8
24.7,82,64.3,53.1,92.2,90.7
24.6,81.7,64.2,52.9,92.1,90.6
24.5,81.5,63.7,52.7,92,90.4
24.4,81.5,63.7,52.4,91.9,90.3
24.3,81.5,63.5,52.3,91.7,90.1
24.5,81.4,63.5,52.1,91.7,89.9
24.4,81.2,63.4,52.1,91.7,89.9
24.3,80.6,63,52,91.6,90
21.7,77.7,62.3,52,91.7,90.2
17.5,71,61.3,51.9,91.6,90.5
13.5,62.6,60,51.3,91.3,90.6
9.6,52.8,58.8,50.7,91,90.6
6.5,43.8,57.6,50.1,90.9,90.4
4.2,35.8,56.6,49.6,90.8,90
2.7,29.7,55.9,49.2,90.5,89.7
1.7,24.8,55.6,48.7,90.2,89.4
1.1,19.5,55.5,48.3,89.9,89.1
0.7,15.6,55.9,47.9,89.6,88.7
0.5,12.8,56.4,47.3,89.4,88.6
0.3,11,57.3,47.2,89.2,88.8
0.2,10.9,58.3,47.7,89.5,89.1
0.1,17.5,59.8,48.6,90.1,89.8
1.1,29.5,61.5,50.2,90.8,90.5
4.7,43.3,63.1,52.2,91.5,91.2
11.2,56.2,64.7,53.9,92.2,92
16.7,66,66.4,55.4,93.1,93
22.4,73.5,68.7,57.2,93.9,94
27.9,79.2,71,59.1,94.3,94.9
33.3,83.3,73.1,61,94.5,95.6
38.2,86.4,75.1,63,94.8,96.3
42,88.8,77.3,64.7,95,96.8
44.9,90.2,79,66.4,95,97.1
47.1,91.5,80.7,67.9,95,97.4
49.3,92.4,82.1,69.2,95,97.4
51.1,93.2,83.5,70.3,95.1,97.5
52.7,93.9,84.6,71.2,95,97.5
54.4,94.4,85.8,72.3,95.1,97.6
56.2,95.1,86.8,73.4,95.1,97.6
58.1,95.7,87.8,74.2,94.8,97.5
60.1,96.1,88.7,75.1,94.7,97.4
61.7,96.4,89.5,76.1,94.5,97.2
63.2,96.8,90.1,76.7,94.4,97
64.3,97.1,90.7,77.3,94.1,96.8
65.2,97.4,91.1,77.6,93.9,96.5
65.6,97.5,91.5,77.9,93.6,96.3
66,97.6,91.6,77.9,93.5,96.2
66.3,97.5,91.7,78.1,93.4,96.2
66.5,97.6,91.8,78.3,93.2,96.1
66.6,97.4,92.1,78.4,92.9,95.9
66.6,97.3,92.2,78.5,92.7,96
66.6,97.2,92.3,78.6,92.7,96.1
66.6,97.2,92.5,78.7,92.4,96.1
66.6,97.1,92.6,78.8,92.3,96.1
66.5,97.1,92.6,78.7,92.4,96.2
66.5,97.2,92.7,78.8,92.5,96.4
66.4,97.2,92.7,78.8,92.8,96.4
66.4,97.1,92.8,78.9,93,96.7
66.3,97.1,92.5,78.9,93.1,96.8
66.1,97,92.4,78.8,93.3,96.9
65.9,97,92.3,79,93.3,97.2
