s1,s2,s3,s4,s5,s6
0,0,0,0,0,0
0,0,0,0,5.4,0
0,0,0,0,11.3,0
0,0,0,0,17.6,0
0,0,0,0,24.8,0
0,0,0,0.2,31.2,0
0,0,0.6,0.9,37.7,0
0,0,1.6,1.7,44.2,0.2
0,0,2.8,2.6,49.7,0.9
0,0,4,3.8,54.2,2.8
0,0,5.8,5,57.9,5.7
0,0,7.3,6.5,60.8,7.9
0,0,8.6,7.6,63.4,9.8
0,0,9.9,8.8,65.8,11.9
0,0,10.7,10.1,67.7,13.4
0,0,11.5,11.1,69.3,14.4
0,0,12.3,12,70.5,15
0,0,13.1,12.9,71.3,15.4
0,0,13.7,13.8,72.1,15.5
0,0,14.5,14.3,72.6,15.8
0,0,15.3,15.5,73,15.7
0,1.4,17.8,16.9,73.3,15.8
0,4.2,20.1,18.4,73.6,15.7
0,9.8,22.3,20.1,73.5,15.6
0,16.2,24.2,21.6,73.3,15
0,23.1,26.2,23.1,72.9,13.6
0,29.6,27.9,24.7,71.8,11.4
0,36.1,29.3,25.6,70.3,8.5
0,42.8,30.5,26.3,68.1,5.5
0,48.8,31.5,26.5,65.6,3.5
0,53.8,31.9,26.6,63.4,2.3
0,57.5,32.3,26.5,61.6,1.5
0.5,60.5,32.4,26.2,60.1,0.9
1.5,63.5,32.6,26.2,57.7,0.6
3.3,66.1,33.3,25.9,54.6,0.4
4.2,68.6,33.7,25.7,50.5,0.2
5.1,70.8,34.3,24.9,44.6,0.2
7.8,72.8,35.1,23.3,37.6,0.1
11.9,74.6,35.8,21.7,28.5,0.1
18.2,76.3,36.7,18.8,18.3,0
24.5,77.8,37.7,16.2,11.7,0
29.5,79.2,38.4,13.7,7.5,0
33.4,80.4,39.3,11.6,4.8,0
36.2,81.7,40.2,10.1,3.1,0
38.5,82.9,41.2,8.9,2,0
40.5,84,42.1,8.1,1.3,0
42.6,84.9,42.6,7.6,0.8,0
44.6,86,43.2,7.6,0.5,0
46.8,87,43.6,7.3,0.3,0
49.2,87.8,44.1,7,0.2,0
51,88.5,44.4,6.4,0.1,0
52.4,88.7,44.6,5.7,0.1,0
53.2,89,45.2,5.2,0.1,0
53.7,89.2,45.9,4.7,0,0
54.4,89.2,47,4.5,0,0
55,89.4,48.2,4.6,0,0
55.8,89.4,48.9,4.8,0,0
56.5,89.5,49.6,5,0,0
56.9,89.5,49.7,5.1,0,0
56.3,89.3,48.9,5.3,0,0
54.5,88.8,47.3,5.6,0,0
51.7,88.3,46.2,6.6,0,0
49.1,88.1,45.6,8,0,0
47,88.1,45.1,9.9,0,0
45.4,88.2,44.7,11.2,0.5,0
43.4,88.2,44.4,12,1.7,0
41,88,44.2,12.5,3.1,0
38.7,88.2,44.6,13.6,4.5,0
38.2,88.6,45.9,15.5,8.5,0
39.1,89.2,47.4,17.8,13.6,0
40.3,90,48.6,20.7,19.1,0
41.3,90.7,50.1,23.2,24.3,0
42,91.2,51.2,25.9,29.5,0
41.6,91.5,51.9,28.3,35,0
40.4,91.7,52.6,30.5,40.2,0
35.5,91.7,53.2,32.2,44.3,0
28.7,91.8,54,33.4,47.7,0
20.4,91.9,55.3,34.3,50.3,0
13.1,92,57.2,34.9,52.2,0
8.4,92.1,58.9,35.4,53.9,0
5.4,92.2,60.1,35.7,55.4,0
3.5,92.1,60.8,36,56.8,0
2.2,92,61.3,36.4,58.2,0
1.4,92,61.5,37.1,60.5,0.1
0.9,92,61.6,38.1,63.6,1.8
0.6,91.8,61.7,39.5,66.5,4
0.4,91.7,61.8,40.7,68.8,5.8
0.2,91.7,62.1,41.8,70.5,7.3
0.2,91.5,62.6,42.8,71.8,8.7
0.5,91.4,63.1,43.8,72.9,9.9
2.2,91.5,63.8,44.6,73.5,11.1
3.6,91.6,64.7,45.6,74.1,12.1
4.2,91.8,65.6,46.8,74.6,13
5.6,91.9,66.5,48,75,14
7.5,92.3,67.4,49.4,75.6,15
9.4,92.5,68.3,51,75.9,15.6
12.2,92.8,69,52.3,76.2,16.2
16.3,93.3,69.7,53.7,76.6,16.5
20.5,93.8,70.4,55.3,77.2,16.9
24.3,94.1,71,57,77.6,17.1
28.2,94.4,71.5,58.4,77.8,17.4
31.3,94.7,71.9,59.3,78,17.6
33.6,94.8,72.2,60.2,78.3,17.8
35.2,95,72.3,60.8,78.5,18.4
35.9,94.9,72.3,61.3,79.1,19.3
35.8,94.8,72.4,61.8,79.5,20.3
34.8,94.7,72.5,62.2,79.9,21.2
33.6,94.7,72.4,62.6,80.2,22.1
32.1,94.6,72.5,62.9,80.6,22.7
31.1,94.7,72.4,63.3,80.9,23.1
30.5,94.7,72.2,63.6,81.4,23.4
