s1,s2,s3,s4,s5,s6
0,0,0,0,0,0
0,0,3.4,2,25.5,1.6
0,0,5.3,4.7,44.2,6.4
0,0,7.1,7.7,58.2,9.9
0,0,9.2,10.8,67.7,13.6
0,0,11.2,14.1,74.2,17.3
0,0,13.5,18.1,79,21.5
0,0,15.5,21.8,82.6,26
0,0,16.9,25.9,85.3,30.8
0,0,18.6,29.4,87.2,35.5
0,0,20.3,32.3,88.7,39.1
0,0,22.9,34.6,89.9,42.3
0,0,26.5,36.8,90.8,45.1
0,0,31.4,38.5,91.4,47.9
0,0,36.3,40.2,91.8,50.3
0,0,41.1,41.8,92.2,52.2
0,0,45.6,43.6,92.6,53.7
0,0,49.8,45.1,93.1,54.6
0,0,53.9,46.4,93.5,55.2
0,0,57.6,48.1,93.7,56.3
0,0,60.8,49.8,94,57.1
0,0,63.7,51.4,94.1,57.9
0,0,66.3,52.9,94.3,58.2
0,0,68.6,54.5,94.6,57.3
0,0,70.6,56,94.9,58.3
0,1.6,72.6,57.4,95.2,59.3
0,8.2,74.3,59,95.2,60.6
0,19.3,75.9,60.4,95.3,62.1
0,31,77.3,61.7,95.3,62.3
0.1,41.5,78.5,62.9,95.3,62.6
2.3,51,79.3,64.1,95.4,62.8
4.7,58.9,80.3,65.3,95.4,62.9
7.6,65,80.9,66.4,95.3,63.1
9.8,69.6,81.7,67.3,95.2,63.5
12.5,73.4,82.5,68.3,95,63.7
15,76.3,83.3,69.1,94.7,63.6
17.7,78.5,83.8,69.8,94.5,61.8
19.4,80.3,84.3,70.3,94.1,62.1
20.7,81.8,84.7,70.6,93.9,61.6
21.9,83.3,85.3,71.1,93.5,61.2
22.6,84.8,85.7,71.5,93.3,60.2
22.7,86.3,86.2,71.9,93,59.7
20.5,87.6,86.6,72.3,92.8,58.9
18.5,88.9,87.1,72.6,92.5,58.4
18.5,90.4,87.4,73,92.4,57.9
20.4,91.7,87.6,73.3,92.3,57.5
24.7,92.9,87.7,73.3,92.2,57.7
28.8,93.9,87.8,73.4,92.1,58.9
31.7,94.6,88,73.4,92.1,59.1
33.8,95.3,88.1,73.3,92,59.3
35.1,95.5,88.1,73.4,91.8,59.1
36.1,95.9,88,73.4,91.7,58.2
36.6,96,88,73.3,91.7,57.6
35.8,95.9,88.1,73.3,91.6,58.1
33.9,95.8,88.1,73.2,91.6,58.5
31.8,95.7,88,73.3,91.7,58.7
30.6,95.7,87.9,73.2,91.7,58.8
29.9,95.9,87.9,73.2,91.8,58.5
29.7,95.9,87.8,73.2,91.9,59.3
29.6,96,87.9,73.2,91.8,60.8
29,96,87.9,73.3,92,61.3
28.5,95.9,87.9,73.4,92,61.6
27.9,95.8,87.8,73.3,92.2,62.3
27.2,95.6,87.8,73.4,92.1,63.5
26.1,95.6,87.7,73.4,92.2,65.1
25.2,95.5,87.7,73.4,92.2,65.8
24.7,95.4,87.7,73.5,92.3,65.7
24.3,95.4,87.7,73.4,92.5,65.7
23.5,95.3,87.7,73.3,92.6,64.4
23.1,95.4,87.7,73.3,92.2,64.5
23.4,95.5,87.7,73.3,92.1,63.1
23.8,95.5,87.6,73.3,92.1,62.9
24.8,95.6,87.7,73.3,92,62.9
26.3,95.9,87.5,73.3,92,62.9
28,96,87.6,73.2,91.7,62.5
30.5,96.3,87.8,73.2,91.7,61.3
33.1,96.6,87.9,73.2,91.6,60.5
35.8,96.8,87.9,73.1,91.6,60.2
38.1,97.1,88,73.2,91.5,59.3
40.3,97.3,88.2,73.1,91.5,57.7
42.5,97.4,88.2,73,91.5,57.2
44.9,97.5,88.2,73.1,91.6,56.2
47,97.6,88.4,73.1,91.6,56.2
48.7,131.7,88.4,73.2,91.6,55.8
50.2,119.5,88.3,73.2,91.6,54.8
51.5,111.7,88.3,73.2,91.6,54.1
52.4,106.8,88.4,73,91.7,53.7
53.1,103.4,88.2,72.9,91.7,52.7
53.1,101.2,88.1,72.8,91.8,52.8
53.3,99.7,88,72.8,91.9,52.2
53.1,98.7,87.8,72.7,92.1,52.5
52.5,98,87.8,72.7,92.2,52.8
51.3,97.4,87.5,72.7,92.3,53.8
50.1,97.1,87.4,72.8,92.3,55
49,96.7,87.5,72.6,92.4,55.9
48.3,96.5,87.3,72.7,92.6,56.7
47.5,96.2,87.1,72.6,92.8,57.4
45.8,95.9,87.1,72.5,92.9,57.8
43.5,95.6,86.7,72.3,93,58.7
41.4,95.5,86.3,72.2,93.3,59.6
39.2,95.3,86,72,93.6,60.5
36.6,95,85.7,71.7,93.6,61.5
32.9,94.6,85.3,71.4,93.8,62.7
29.3,94.1,84.9,71.2,94,63.8
26.5,93.6,84.7,71,94.2,64.8
24.3,93.2,84.5,71,94.3,65.5
22.8,92.9,84.1,70.7,94.5,66.1
21.3,92.5,83.9,70.7,94.5,66.7
