Sample,RawADC,Voltage
0,2747,2.21
1,2768,2.23
2,2726,2.2
3,2777,2.24
4,2782,2.24
5,2784,2.24
6,2779,2.24
7,2788,2.25
8,2815,2.27
9,2801,2.26
10,2811,2.27
11,2833,2.28
12,2829,2.28
13,2784,2.24
14,2832,2.28
15,2839,2.29
16,2825,2.28
17,2795,2.25
18,2813,2.27
19,2817,2.27
20,2826,2.28
21,2842,2.29
22,2832,2.28
23,2800,2.26
24,2799,2.26
25,2795,2.25
26,2812,2.27
27,2799,2.26
28,2815,2.27
29,2823,2.27
30,2787,2.25
31,2794,2.25
32,2768,2.23
33,2810,2.26
34,2781,2.24
35,2791,2.25
36,2807,2.26
37,2823,2.27
38,2802,2.26
39,2771,2.23
40,2800,2.26
41,2834,2.28
42,2791,2.25
43,2837,2.29
44,2782,2.24
45,2790,2.25
46,2786,2.25
47,2796,2.25
48,2777,2.24
49,2825,2.28
50,2793,2.25
51,2802,2.26
52,2784,2.24
53,2816,2.27
54,2796,2.25
55,2830,2.28
56,2811,2.27
57,2802,2.26
58,2813,2.27
59,2806,2.26
60,2787,2.25
61,2790,2.25
62,2783,2.24
63,2803,2.26
64,2793,2.25
65,2832,2.28
66,2795,2.25
67,2795,2.25
68,2801,2.26
69,2779,2.24
