Sample,RawADC,FilteredADC,Voltage
0,2626,1313,2.12
1,2627,1787.7,2.12
2,2631,2022.2,2.12
3,2645,2162.1,2.13
4,2640,2251.9,2.13
5,2659,2317.7,2.14
6,2667,2367.1,2.15
7,2689,2407.6,2.17
8,2703,2441.1,2.18
9,2701,2467.9,2.18
10,2673,2487.3,2.15
11,2682,2504.3,2.16
12,2714,2521.3,2.19
13,2685,2533.6,2.16
14,2720,2546.8,2.19
15,2703,2557.3,2.18
16,2715,2567.2,2.19
17,2692,2574.7,2.17
18,2704,2582,2.18
19,2722,2589.5,2.19
20,2692,2594.8,2.17
21,2698,2599.9,2.17
22,2715,2605.3,2.19
23,2704,2609.8,2.18
24,2688,2613.2,2.17
25,2674,2615.8,2.15
26,2675,2618.1,2.16
27,2693,2621.1,2.17
28,2714,2624.5,2.19
29,2694,2627.1,2.17
30,2672,2628.6,2.15
31,2679,2630.4,2.16
32,2702,2632.7,2.18
33,2671,2634,2.15
34,2672,2635.1,2.15
35,2685,2636.7,2.16
36,2695,2638.4,2.17
37,2677,2639.5,2.16
38,2690,2640.9,2.17
39,2705,2642.6,2.18
40,2688,2643.8,2.17
41,2682,2644.8,2.16
42,2690,2646,2.17
43,2673,2646.6,2.15
44,2711,2648.2,2.18
45,2718,2649.9,2.19
46,2686,2650.7,2.16
47,2703,2651.9,2.18
48,2720,2653.4,2.19
49,2683,2654.1,2.16
50,2684,2654.7,2.16
51,2672,2655.1,2.15
52,2705,2656.1,2.18
53,2675,2656.5,2.16
54,2704,2657.4,2.18
55,2709,2658.4,2.18
56,2695,2659.1,2.17
57,2673,2659.4,2.15
58,2719,2660.5,2.19
59,2726,2661.7,2.2
60,2685,2662.1,2.16
61,2707,2662.9,2.18
62,2695,2663.5,2.17
63,2691,2663.9,2.17
64,2693,2664.4,2.17
65,2686,2664.8,2.16
66,2693,2665.2,2.17
67,2716,2666.1,2.19
68,2691,2666.5,2.17
69,2695,2666.9,2.17
