s1,s2,s3,s4,s5,s6
0,0,0,0,0,0
0,2.6,0,0,0,0
0,10.1,0,0,0,0
0,20.5,0,0,6.4,0
0,30,0,0,16,0
0,38.8,0,0,24.1,0.9
0,48,0,0,31.8,3.7
0,55.9,0,0,38.5,8.3
0,62.3,0,0,43.8,13.4
0,67.7,0,0.6,49,20.7
0,72,4.3,2.4,54.8,32.3
0,76.1,15,5.9,60.3,43.6
1.5,80.3,29.4,11,65.2,53.1
12.8,84.1,43.5,16.7,68.6,59.3
24.8,87,55.9,23.4,71.9,65
36.4,89.1,65.8,30.4,75.3,70.4
46.4,90.6,72.8,36.8,78.7,75.1
54.5,91.7,77,42.4,82.2,78.9
60.4,92.4,79.6,46.9,84.9,82.4
64.6,93.1,80.9,50.5,87.1,85.1
67.8,93.5,80.9,53.2,89.2,86.8
70.3,94,79.2,55,90.5,87.6
72.4,94.4,77.9,56.2,91.1,86.9
74.5,94.9,73.1,56,91,83.6
76.4,95.4,68.5,54.8,90.3,78
77.9,95.5,65.7,54,89.7,73.8
79,95.5,69.3,55,89.4,74.9
79.6,95.5,74.1,56.6,89.4,77.5
79.5,95.2,79.7,58.1,89.2,79.9
77.9,94.5,83.8,59.6,89.2,82.9
74.9,93.9,86.6,60.5,89.3,85.4
72.2,93.4,88.2,61.1,89.8,87.3
65.8,92.5,89.1,61.6,90.4,88.8
52,90.8,89.3,60.7,90.9,90.4
33.5,88,89.2,58.8,91.6,91.7
26.8,88.2,86,58.8,92.2,91.5
37.5,89.6,82.9,59.5,92.6,91.2
47,90.6,81.6,60.2,92.8,90.6
54.2,91.2,82.1,61.1,92.5,90.1
58.4,91.6,83.2,61.9,92.3,90
61.1,91.7,84.5,62.6,91.8,90.2
63.1,91.9,85,62.9,91.6,90
66.4,92.4,83.4,62.9,91.7,89.5
68.9,92.7,82.1,62.7,91.6,89.1
70.6,92.8,81.5,62.6,91.6,88.8
71.8,93,81,62.6,91.8,88.7
72.4,93,80.7,62.6,92,89
72.5,93,80.5,62.8,92,89.5
72.6,93,80.4,62.8,92,89.7
72.2,92.9,80.3,62.7,91.9,89.9
71.8,92.8,80.3,62.7,91.9,90
71.2,92.7,80.4,63,91.9,90.3
70.6,92.5,80.7,63.2,92.1,90.7
70.4,92.3,80.5,63.2,92.3,90.7
70.3,92.3,80,62.8,92.5,90.6
70.8,92.4,79.3,62.6,92.4,90.3
71.5,92.8,78.7,62.4,92.6,90
72.1,92.9,77.5,61.7,92.8,89.6
72.5,93,76.7,61.2,92.8,89.4
72.7,93.2,76.2,60.8,92.9,89.4
72.6,93.2,76.2,60.7,92.8,89.7
72.6,93.2,76.5,60.7,92.8,89.9
72.5,93.3,76.4,60.7,92.8,89.9
72.7,93.4,75.8,60.6,92.8,89.5
73.3,93.4,75.3,60.4,92.7,88.2
73.7,93.6,74.9,60.2,92.5,87.2
74.1,93.6,75.2,60.5,92.2,86.9
74.4,93.4,77.7,61.7,91.9,88.4
73.8,93.1,80.5,62.8,91.9,89.7
72.2,92.6,83.1,63.7,91.7,90.6
69.2,92,85.1,64.2,91.5,91.3
59,90.7,85.8,64.1,91.7,92.2
46.8,88.6,86,63.5,91.7,92.9
39.9,87.8,85.7,63.5,91.9,93.1
39.2,87.9,85.3,63.7,92,93
41.5,88.4,85.2,64.2,92.1,92.8
43.3,88.7,85.3,64.5,92.1,92.7
43.5,88.8,86.1,64.7,92,92.6
40.3,88.5,87.2,64.4,91.6,92.7
27.9,87.4,88.3,63.2,91.6,93.2
18.8,86.6,88.6,62.7,91.6,93.3
23.7,87.4,87.6,63.2,91.7,93
32.6,88.4,86.8,64.1,91.9,92.7
40.1,89.4,86.3,64.7,92,92.4
43.2,89.7,86.6,64.9,91.9,92.4
42.8,89.6,87.3,64.8,91.7,92.7
39.2,89.2,88.4,64.3,91.5,92.8
35.8,88.9,89.1,64,91.2,92.8
40.5,89.3,87.8,64.4,91.3,92.4
45.1,89.9,87.4,65,91.4,92.2
51.2,90.6,86.9,65.3,91.6,91.7
55.4,91.1,87,65.4,91.7,91.4
58.4,91.5,87,65.6,91.5,91
59.4,91.5,87.4,65.7,91.2,90.9
60.3,91.6,87.9,65.8,90.9,90.9
62.6,91.8,88.2,66.2,90.5,90.5
64.8,91.9,88.5,66.4,90.2,90.2
66.4,92,88.6,66.6,90.1,90.1
67.2,92,88.6,66.7,90.2,90.2
67.9,92.1,88.2,66.7,90.2,90.4
68.6,92.2,87.6,66.7,90.4,90.4
69,92.2,87.1,66.8,90.6,90.5
69.1,92.3,86.9,66.8,90.6,90.6
69.3,92.2,87,66.8,90.7,90.9
69.4,92.2,87.1,67,90.7,90.9
69.1,92.1,87.4,66.9,90.6,91
68.8,92,87.9,67,90.4,90.9
69.6,92.2,88.2,67,90.4,90.6
71.6,92.6,88.1,66.8,90.5,90.1
73.5,92.9,87.8,66.7,90.3,89.8
74.8,93.1,88.5,66.7,90.1,89.4
75.1,93.1,89.2,66.4,89.8,89.4
74.7,93,89.8,66.4,89.7,89.7
74.8,92.9,90,66.5,89.5,89.6
75.5,93,89.8,66.6,89.5,89.5
76,93.1,89.8,66.6,89.5,89.5
76.3,93.2,89.3,66.8,89.5,89.3
77,93.4,88.8,67,89.5,89.1
77.5,93.5,88.5,66.9,89.4,88.7
78.1,93.6,88.3,66.9,89.3,87.8
78.5,93.7,88.2,66.7,89.3,87
79.5,93.9,88.2,66.4,89,86.1
80.3,94.3,87.9,65.8,89,85
80.8,94.6,87.3,65.3,88.9,84.1
81.2,94.7,86.5,64.7,88.9,83.4
81.3,94.8,86,64.3,88.9,83.3
81.3,94.7,86,64.3,89.1,83.8
81.1,94.6,86,64.3,89.5,84.2
80.8,94.6,85.9,64.2,89.7,84.4
80.5,94.4,85.6,64.1,89.8,84.6
80.2,94.2,85.4,64,89.9,84.9
80,94.2,85.5,64.2,89.9,85.2
79.5,93.9,86.6,64.6,89.9,86.1
78.3,93.7,87.5,65,89.9,86.8
77.5,93.5,87.9,65.3,89.9,87.4
77.4,93.6,87.7,65.3,90,87.4
77.4,93.6,87.5,65.4,90.1,87.7
77.1,93.4,87.5,65.4,90.2,88
76.4,93.2,88,65.5,90.4,88.3
75.4,93,88.3,65.6,90.6,89
74.9,93,88.4,65.7,90.7,89.4
74.6,92.9,88.6,65.8,90.8,89.7
73.5,92.5,89.1,66,90.7,90
71.6,92.2,89.6,66.1,90.5,90.3
70.4,92.1,89.5,66.2,90.5,90.6
71,92.4,88.9,66.4,90.6,90.5
71.6,92.2,88.5,66.5,90.6,90.4
71.8,92.2,88,66.7,90.7,90.4
72.1,92.2,87.6,66.7,90.9,90.4
72.1,92.2,87.2,66.7,90.9,90.6
71.7,92.1,87,66.7,91.1,90.8
70.7,91.7,87.3,66.6,91.2,91
69.5,91.6,87.6,66.5,91.1,91.4
68.7,91.5,87.9,66.4,91.2,91.6
68.4,91.6,88.3,66.4,91.2,91.8
68.2,91.4,88.7,66.4,91.2,91.9
68,91.3,88.8,66.5,91.2,91.9
68.4,91.4,88.7,66.5,91.3,91.9
68.9,91.6,88.5,66.5,91.4,91.7
69.4,91.7,88.6,66.7,91.3,91.6
69.5,91.7,88.7,66.8,91.2,91.6
69.3,91.6,89.2,66.7,91,91.6
68.4,91.1,89.7,66.7,90.8,91.6
68,91,90.1,66.6,90.7,91.6
67.2,91,90.2,66.5,90.6,91.5
66.4,91,90.5,66.4,90.6,91.8
65.3,90.8,90.6,66.3,90.8,91.9
64.5,90.6,90.2,66.3,91,91.9
62.9,90.4,90,66.2,91.2,92.2
60.1,90,89.7,65.7,91.6,92.7
55.3,89.6,89.4,65.4,91.8,93
51.4,89.3,89,64.8,92,93.4
48.9,89.1,88.7,64.5,92.1,93.7
50.5,89.3,87.4,64.7,92.5,93.7
55.5,90,85.4,64.7,92.8,93.3
58.3,90.3,84.8,64.7,92.9,93.2
60.3,90.5,84.5,64.7,92.9,93.2
61.4,90.4,84.7,64.9,92.9,93.2
63.2,90.7,84.9,65.1,92.8,93.1
64.5,90.8,85.1,65.2,92.5,93
66,91,85.1,65.4,92.5,92.9
68,91.4,84.6,65.4,92.4,92.8
70.2,91.9,84.4,65.4,92.3,92.3
