s1,s2,s3,s4,s5,s6
0,29.6,0,0,0,0
0,57.5,0,0.2,31.4,12.1
0,61.4,0,1.1,39.5,19.6
0,65.4,0,3.4,42.5,21
0,71.7,0,5,46.6,27.8
0,73,0,6.3,48.1,36.5
0,74,0,8.1,59.3,52.6
0,76.4,3.1,13.3,65.3,66.1
0,77.7,9.7,16.3,69.2,73.3
1,80.7,15.5,19.8,73.6,79.5
3.2,83.4,28.7,26.5,77.9,84.3
4.4,85,38.1,31.8,81.3,87.3
16.1,87,51.7,37.1,83.8,89.3
32.9,89.3,57.9,44.1,86.4,91.4
42.8,90.9,60.5,48.2,88.8,92.2
54.3,91.8,61.6,52,90.1,93.7
64.1,92.5,66.4,57,91,94.4
71.7,93.3,70.6,60.4,91.2,94.6
75.9,93.6,76.9,63.1,90.6,94.3
78.8,93.8,81,64.4,89.2,92.7
80.7,94.5,84.7,65.4,87.5,91.4
81.7,94.1,86.9,65.6,85.2,90.3
82.9,94.5,88.6,65.9,84.1,89.7
83.3,94.8,89.8,65.8,83.2,89.1
83.7,94.9,90.1,66.1,83.8,88.7
83.4,94.3,90.1,66.2,84.8,89.6
83.1,93.9,89,66.3,85.9,90.6
82,93.9,87.6,66.2,87.7,91.3
80.2,93,86.1,65.9,88.6,92.4
77.7,93.1,84.4,65,89.1,93.1
75.7,92.3,82.5,64.3,90.2,94.1
72.7,92.1,80.1,63.7,90.9,94.3
70.5,91.3,77.6,62.9,91.7,95
69.4,91.2,75.6,62,92,95.6
68.1,91.1,74.2,62.4,91.8,95.4
67.9,91,73.4,62.1,92.2,95.6
68.3,91,72.8,62.1,92.6,95.4
68.2,91.1,72.7,62.2,92.2,95.2
69.6,91.2,73.8,62.3,92.1,95.1
70.3,91.6,75.3,63.1,91.9,94.7
70.7,91.3,76.1,63.5,91.7,95
70.4,91.5,76.7,63.5,92,95.1
69.6,91.1,75.7,63.2,92.1,95.1
68.5,90.4,74.2,62.5,92,95.7
66.7,90.5,71.9,62.1,92.5,95.6
64.4,90,69.9,61.5,92.5,95.8
60.1,89.9,66.4,60.6,92.4,96.5
56.6,89.1,63.7,60.1,93.2,96.4
55.8,89.3,63.4,59.5,93,96.6
58.3,89.7,63.9,60.1,92.8,96.1
61.1,89.9,65,60.6,93,96.2
62.9,89.9,66.4,61.5,93.1,96.1
65.4,90.4,71.1,62.2,92.2,96
64.3,90.2,76.8,62.5,91.9,96
57.9,89.7,79.8,63,91.5,96.3
48.3,88.8,81.1,61.8,91.8,96
42.2,87.6,80.6,61.5,91.9,95.9
30.7,87,77.3,61.6,92.6,96.2
24.4,87,68.2,61.3,93.4,96.9
22.2,86.8,67.1,62,93.9,96.6
10.8,86.4,72.7,62.7,93.8,96.4
0.7,84.5,78.1,62.9,93.8,96.4
