s1,s2,s3,s4,s5,s6
0,0,0.9,0,0,0
0,0,1.8,0,0,0
0,0,1.8,0,0,0
0,0,1.3,0,0,0
0,0,1.9,0,0,0
0,0,3,0,0,0
0,0,3.2,0,0,0
0,0,4.7,0,0,0
0,0,8,0,0,0
0,0,11.9,0,0,0
0,0,13.8,0,0,0
0,0,15.1,0,0,0
0,0,16.3,0,0,0
0,0,22.2,0,0,0
0,0,31.5,0,0,0
0,0,37.4,0,0,0
0,0,41,0,0,0
0,0,42.5,0,0,0
0,0,43.9,0,0,0
0,0,45.6,0,0,0
0,0,46.8,0,0,0
0,0,47.1,0,0,0
0,0,48.4,0,0,0
0,0,50.4,0,0,0
0,0,51.9,0,0,0
0,0.1,51.5,0,0,0
0,0.4,53.2,0,0,0
0,0.9,53.7,0,0,0
0,1.6,54.7,0,0,0
0,0.5,56.2,0,0,0
0,1.3,57.6,0,0,0
0,0.8,58.5,0.1,0,0
0,1.3,58.5,2.7,0,0
0,1.7,59,5,0,0
0,2.9,58.9,8.6,0,0
0,4.4,59.3,9.3,0,0
0,7.3,59.1,10.7,0,5
0,9.3,59.5,10.7,0.2,9.1
0,10.7,60.3,11.5,1.7,15.1
0,11.4,60.3,12.8,10.4,17.5
0,12.6,60.5,16.4,17.6,22.5
0,13.7,61.3,18,23.3,29.8
0,15.2,61.4,20.3,29.3,36
0,14.1,60.6,22.1,36.8,41.9
0,12.9,60.2,22.1,41.3,45.8
0,12.3,58.9,22,47.2,48.3
0,12.8,58.3,22.6,53.1,52.7
0,13.4,57.4,22.5,58.1,56.7
0,13.8,55.8,22.6,60.8,58.1
0,11.7,55.1,22.3,62.2,59.4
0,10.4,54.9,23.1,64.4,61.3
0,7.5,54.1,22.9,65.9,63
0,6.8,53.1,24.2,68.6,65.2
0,6.9,52.6,24.7,70.1,67.7
0,7.5,52.8,25.7,71.3,69.6
0,7.3,51.9,27.4,71.7,70.8
0,8.8,50.2,26.5,72.5,72
0,9.7,50.7,26.4,73.1,72
