s1,s2,s3,s4,s5,s6
0,0,0.1,0,0,0
0,0,4.2,0,0,0
0,0,8.8,0,0,0
0,0,12.8,0,0,0
0,0,13.6,0,0,0
0,0,14.4,0,0,0
0,0,15.2,0,0,0
0,0,16.1,0,0,0
0,0,15.9,0,0,0
0,0,16.3,0,0,0
0,0,16.5,0,0,0
0,0,16.4,0,0,0
0,0,18.5,0,0,0
0,0,20.1,0,0,0
0,0,20.5,0,0,0
0,0,22.3,0,0,0
0,0,22.9,0,0,0
0,0,25.7,0,0,0
0,0.2,28.5,0,0,0
0,2.7,31.6,0,0,0
0,3.2,37.2,0,0,0
0,1.8,38.7,0,0,0
0,0.4,41.9,0,0,0
0,0,44,0,0,0
0,0,46.1,3.6,0,0
0,0,47.9,5.7,0,0
0,0,47.2,7.4,5.1,0
0,0,46.9,13.9,19.4,5.6
0,0,45.8,18,31.8,16.9
0,0,45.4,19.4,39.6,24.8
0,0,45,23.6,47.5,31.7
0,0,44.3,26.1,51,34.2
0,0,44.3,27,53.7,37.6
0,0,44.7,27.7,54.4,39.7
0,0,46.6,30.5,57.2,43.5
0,0,47.7,31.5,60.5,45.8
0,0,50.3,33.4,62.5,46
0,0,50.3,34.1,63.8,45.4
0,0,50.9,34.1,64.6,45.3
0,0,51.4,35.4,66.4,45.4
0,0,51.1,35.6,68.4,45.8
0,0,51.8,38.2,70.8,45.9
0,0,51.5,38.8,73.1,45
0,0.5,50.9,39.8,74.5,44.2
0,4.5,50,41,75.2,41.7
0,12.4,51,42,76.2,41.4
0,15.3,52,44.2,77.8,43.1
0,20.6,52.8,46.1,78.8,44
2.2,27.4,55.4,47.8,80.1,44.8
4.4,36.8,57.9,49.6,80,45.1
8.1,42.8,61.7,52.5,80.7,46.6
14.5,49.7,64.7,54.9,82,48.1
24.1,55.6,68.2,57.2,82.6,51.1
36.3,62.2,71.4,60.1,83.7,52.9
44.5,66.3,73,62.7,84.5,55.4
51.2,68.9,74.7,65.1,85.6,59.3
56,73.1,75.8,67.3,86.1,61.3
59.2,76.2,77.3,69.1,87.2,64.8
63.3,79,77.9,71,88.7,67.9
66.3,80.5,78.1,72,88.9,70.9
67.2,80.8,78.6,72.6,89.8,73.5
67.1,80.9,79.3,72,90.2,76.2
65.5,80.5,79.7,72.7,90.2,78.2
62.3,78.7,80.6,73.6,90.3,79.8
61,77.8,81.6,74.3,90.1,81.4
60.5,77.8,83,74.7,89.9,81.7
60.9,77.6,84.3,75.4,89.9,82.5
59.6,76.5,85.7,76.8,89.2,83.2
57,74.7,87.2,77,88.6,84.3
57.5,74.8,88,77.2,87.7,83.7
63.1,78.7,88.8,78.2,87.1,83.7
70.9,83.4,89.2,78.4,87.4,82.9
75.7,87.1,88,78.7,88.5,82.4
77.7,88.8,88.8,78.3,88.9,82.6
79.5,90.4,88.9,78.2,89.6,82.4
81.5,92.1,88.8,78.5,89.9,82.2
83.2,93.6,88.6,80.3,90.8,82
84,93.7,87.8,81.3,91,82.1
84.5,94.2,87.5,82.3,91.7,82.4
84.8,94.8,86.8,81.9,92.3,82.7
84.3,94.6,86.5,82.2,92.4,83.4
83.8,94.2,84.9,82.3,93.1,84
83.6,94.4,83.7,81.7,94.2,84.7
83.1,94.5,81.5,82.2,94.5,85.3
82.6,93.9,81.1,82.6,94,86.4
82.3,93.7,82.1,82.5,94.3,87.4
81.8,93.3,82.8,82.7,94.3,87.6
81.4,93.2,83.4,82.8,93.9,88.1
81.7,92.7,84.3,83.1,93.6,88.3
81.4,92.9,85.2,83.7,92.9,88.2
81.7,92.3,86.5,83.4,92,87.7
81.6,92.6,86.5,83.6,92.2,87.7
82,93.3,87,83.4,92.2,86.7
83,93.6,87.4,83.5,91.5,86.4
83.1,93.7,87.5,83.7,91.3,85.6
82.9,93.4,87.5,83.6,91.1,85.3
83.3,93.5,88.2,83.9,91.2,85.1
83.3,93.9,88.3,84,90.7,84.9
83.8,94.1,88.2,83.8,91.1,84.8
84.2,94.1,88.2,84.1,91.1,84.3
84.6,94,88.4,84.1,90.9,84.9
84.6,94,88.6,84.2,90.8,84.8
84.6,94.1,89.3,84.5,89.7,84.4
84.3,93.7,89.8,83.9,89.8,84.1
84.6,93.8,89.7,84.3,89.2,83.2
84.4,93.3,90.5,84.2,88.2,83.1
84.2,92.6,90.8,84.3,86.8,82.6
84.4,92.7,91,84.4,86.9,82.1
84.3,93.1,90.9,83.9,87.4,81.8
84.8,93.5,90.4,84.1,86.9,82.7
84.6,93.2,91,84.1,86.7,82.5
84.8,92.8,91.1,84.4,86.3,82.4
84.3,92.3,91.3,84.3,86.4,82.7
84,91.3,91.3,84.1,85.7,82.9
83.3,90.3,92.1,84.3,85.1,82.5
83.4,90.6,92,84.4,85,82.4
83.3,90.6,92.1,84.5,84.6,82.4
83.3,90.4,91.9,84,84.7,82.5
83.2,90.8,91.8,84,84.9,82.2
83.4,90.4,91.6,84.5,85,82.5
83.2,90.1,91.6,84.8,85.6,82.3
83.2,90.4,91.5,84.7,85.4,82.3
83.3,90,91.8,84.6,85.3,82.8
83,90.3,91.7,84.5,85.4,82.9
82.8,90,91.6,84.7,85.5,83.5
82.7,90.2,91.3,84.7,85.9,83.2
83,90.7,91.6,85,85.6,82.9
82.7,90.1,91.4,84.2,85.4,83.1
82.4,89.7,91.9,84.4,85.4,83.1
82,89.8,91.7,84.5,85.3,83.4
82.4,89.9,91.4,84.6,85.3,83.1
82.4,90.2,91,84.3,85.8,83.1
83.7,91.9,90.7,84.6,87,82.7
84.7,93.2,90.4,84.5,88.1,82.8
85.1,93.6,88.8,84.1,89.2,82
86.3,94.5,88.5,83.9,90.3,81.7
87.3,94.9,87.5,84.1,89.9,81.1
86.7,95,86.7,83.4,90.4,79.7
87.2,95.6,85.3,83,90.7,78.4
87.7,95.5,84.8,82.7,90.9,77.7
87.8,95.8,84.5,82.5,91.4,78.5
87.9,95.9,84.3,82.4,91.3,78.8
87.9,95.8,84.2,82.8,91,79.5
87.7,95.3,84.2,82.3,91.4,79.7
87.8,95.9,83.8,82.9,91.1,79.7
87.9,94.9,84.2,82.8,91.2,79.9
87.9,95.3,84.5,82.5,91,80.2
87.5,95,85.3,83.4,90.7,80.3
86.9,94.2,87,84.2,90,81.2
85.9,93.6,88.1,84.3,89,81.7
84.8,91.1,88.8,84.6,88.5,82.5
84.1,89.6,89.6,84.7,87.7,82.4
84,89.3,89.7,84.8,87.4,82.4
84,89.2,89.6,84.9,87.1,82.4
84.7,90,89.5,84.5,87.8,82.4
85.1,91.3,89,84.9,88.7,82.4
85.5,92.3,89.1,84.8,88.8,81.8
85.7,92.5,89.1,85,88.8,81.6
85.8,92.7,88.6,84.5,89,81.5
85.9,93.3,88.8,84.9,89.2,81.3
86.2,93.8,88.7,84.7,89.4,80.6
86.3,93.3,88.5,84.4,89.7,81.3
86.4,93.5,89.3,84.9,88.8,81.6
86.2,92.8,89.7,85,88.1,81.9
85.1,90.9,90.6,85.1,86.1,82.1
84.5,89.2,91.1,85.1,85.3,82.4
82.6,86.9,91.2,85.1,84.6,82.6
81.1,84.5,91.7,85.1,83.9,82.2
79.5,82.8,91.9,85,83.3,82.2
77.1,80.4,92.1,85.2,82.8,82.3
76.5,78.1,92.4,84.9,82.7,82.2
76,78,91.8,84.7,82.2,82.3
76.5,78.4,92.2,84.8,82.2,81.9
77.3,80.1,92,84.8,82.5,82
77.5,81.6,92.2,84.8,83,82.2
78.6,82.5,92,84.8,82.9,81.6
79.6,83.6,92.1,84.6,82.9,81.6
80.1,84.2,91.9,84.9,82.6,81.4
80.8,84.8,91.7,84.7,82.4,81.1
81,84.8,92.1,84.8,81.6,80.9
81.1,84.2,92,84.7,81.1,80.3
80.6,84,92.5,84.7,80.3,80
80,83.3,92.6,84.2,79.5,78.9
79.7,82.8,92.6,84,78.9,79.3
79.2,82.2,93.1,83.9,78.3,79.4
79.7,82.7,93.4,83.7,78.2,79
81,84.8,93.1,83.9,78.5,78.1
82.7,87.5,92.6,83.8,79.4,78.5
83.6,89.4,92.7,84.3,80.8,78.1
84.2,89.7,93,84.2,80.7,78.1
84.8,90,92,84.5,81,78.2
85.4,91.9,91.6,84.3,81.5,78.3
86,93,91.5,84.2,82.6,78
86.5,93.9,91.3,84,83.7,78.3
87,94.2,91,84.1,84.6,78.5
87.4,94.6,90.3,84.1,85.3,79.2
87.8,94.7,89.8,83.8,85.5,78.8
87.6,95.1,89.6,84.1,86.1,78.7
88.4,95.2,88.8,83.8,86.5,79
88.2,95.4,88.7,83.4,87.5,78.7
88.1,95.4,88.4,83.9,87.4,77.7
88.2,95.2,88.5,83.2,87.4,77.3
88.2,95.4,88.9,83.5,87.1,77.5
88.1,95.1,89.3,83.6,86.1,77.1
88.1,95.4,89.2,83.3,85.5,77.1
88.4,95.3,89.6,84,85.1,76.7
88.2,94.8,90.4,84.2,84.9,76.6
87.5,94.1,90.1,83.9,84.3,76.7
87.9,94.3,90.9,83.8,83.6,76.7
88,94.4,91.2,83.5,83.7,76
88.1,94.7,91.2,84.2,83.3,75
88.1,94.9,91.1,84.2,83,75.4
87.9,94.9,91.4,83.6,83.1,74.8
88.1,94.6,91.2,84.2,82.7,74.6
88.7,94.2,91.3,83.5,82.2,74.3
88.3,94.8,91.1,83.3,82.4,72.8
89.2,95.3,91.2,83.6,82.9,72.3
88.5,95.4,90.5,83.4,83.9,72
89.1,95.9,90.5,82.1,84.3,71.5
89.3,95.9,89.9,82.1,85.5,71.5
89.7,96.5,88.8,81.6,86.2,71.3
